"ID","Sexe","Age","Commune","Connaissance_Produits","Disponibilite_Produits","Frequence_Achat","Depense_Moyenne_Mois","Qualite_Service","Satisfaction_Globale","Interet_Nouveau_Service","Caracteristiques_Recherchees","Support_Info","Importance_Disponibilite","Importance_Qualite","Importance_Prix","Importance_Image","Willingness_to_Pay","Commentaires"
162,"Femme",21,"Dakar-Plateau","Oui",4,"Parfois",18684,4,3,"Oui","Sécurité","Affichage campus",3,4,5,5,15023,"Améliorer la qualité du service."
163,"Homme",24,"Yoff","Oui",5,"Parfois",16462,5,5,"Oui","Sécurité","SMS",4,3,5,5,16980,"Bonne initiative pour les étudiants."
164,"Femme",21,"Fann-Point E-Amitié","Non",4,"Parfois",13747,5,5,"Non","Offre personnalisée","Bouche-à-oreille",4,5,1,5,12090,"Rendre les prix plus abordables."
165,"Femme",22,"Ouakam","Oui",2,"Souvent",11843,3,4,"Oui","Sécurité","Bouche-à-oreille",5,4,4,2,8563,"Rendre les prix plus abordables."
166,"Homme",24,"Patte d'Oie","Oui",5,"Souvent",18364,2,2,"Oui","Prix bas","Réseaux sociaux",4,3,4,5,15076,"Rendre les prix plus abordables."
167,"Homme",19,"Hann Bel-Air","Non",2,"Parfois",14321,4,4,"Non","Sécurité","Bouche-à-oreille",2,3,5,5,10764,"Bonne initiative pour les étudiants."
168,"Femme",23,"Patte d'Oie","Non",1,"Rarement",12648,3,4,"Oui","Offre personnalisée","Réseaux sociaux",1,3,5,3,14618,"Améliorer la qualité du service."
169,"Femme",21,"Gueule Tapée-Fass-Colobane","Non",5,"Rarement",10541,4,5,"Oui","Livraison rapide","Bouche-à-oreille",4,4,4,2,13365,"Rendre les prix plus abordables."
170,"Femme",28,"Yoff","Oui",3,"Parfois",25910,3,3,"Non","Offre personnalisée","Réseaux sociaux",4,3,2,3,13475,"Bonne initiative pour les étudiants."
171,"Homme",24,"Fann-Point E-Amitié","Non",3,"Jamais",9536,2,3,"Oui","Sécurité","Bouche-à-oreille",3,3,4,5,9622,"Offrir un essai gratuit."
172,"Femme",23,"Parcelles Assainies","Oui",2,"Souvent",15020,5,5,"Oui","Livraison rapide","Email",3,4,2,1,10607,"Ajouter plus de fonctionnalités."
173,"Homme",24,"Gueule Tapée-Fass-Colobane","Oui",4,"Souvent",19187,4,4,"Oui","Offre personnalisée","Bouche-à-oreille",5,2,4,1,13342,"Offrir un essai gratuit."
174,"Homme",23,"Mermoz-Sacré-Cœur","Non",4,"Rarement",9424,3,1,"Oui","Prix bas","Email",1,2,3,1,8617,"Offrir un essai gratuit."
175,"Homme",22,"Gueule Tapée-Fass-Colobane","Non",4,"Rarement",10410,3,2,"Non","Prix bas","Email",2,3,1,3,3925,"Rendre les prix plus abordables."
176,"Homme",26,"Gueule Tapée-Fass-Colobane","Oui",1,"Très souvent",16767,4,4,"Oui","Sécurité","Email",5,3,3,1,13347,"Rendre les prix plus abordables."
177,"Femme",19,"Fann-Point E-Amitié","Oui",2,"Souvent",18110,3,2,"Oui","Prix bas","Bouche-à-oreille",1,3,3,1,14679,"Bonne initiative pour les étudiants."
178,"Homme",25,"Mermoz-Sacré-Cœur","Oui",4,"Parfois",13564,3,2,"Oui","Livraison rapide","Affichage campus",3,1,3,1,12708,"Améliorer la qualité du service."
179,"Homme",22,"Mermoz-Sacré-Cœur","Non",2,"Jamais",11641,1,1,"Oui","Livraison rapide","Affichage campus",1,4,5,3,9638,"Ajouter plus de fonctionnalités."
180,"Homme",22,"Ngor","Non",2,"Jamais",9788,3,4,"Oui","Sécurité","SMS",1,5,5,5,14227,"Offrir un essai gratuit."
181,"Homme",21,"Ngor","Non",5,"Jamais",14038,1,1,"Oui","Livraison rapide","SMS",5,4,1,4,11292,"Bonne initiative pour les étudiants."
182,"Femme",21,"Gueule Tapée-Fass-Colobane","Oui",3,"Souvent",16694,3,3,"Oui","Sécurité","Bouche-à-oreille",4,5,5,3,13293,"Ajouter plus de fonctionnalités."
183,"Homme",20,"Grand Dakar","Non",2,"Rarement",12448,2,2,"Oui","Interface simple","Email",4,1,3,2,11402,"Offrir un essai gratuit."
184,"Femme",18,"Ouakam","Oui",4,"Parfois",23547,4,5,"Non","Sécurité","Bouche-à-oreille",3,3,2,3,12657,"Améliorer la qualité du service."
185,"Homme",19,"Ouakam","Oui",4,"Très souvent",12557,4,4,"Oui","Sécurité","Email",1,4,5,4,12500,"Offrir un essai gratuit."
186,"Femme",22,"Parcelles Assainies","Non",5,"Rarement",12163,3,3,"Non","Livraison rapide","Bouche-à-oreille",5,5,1,5,4920,"Offrir un essai gratuit."
187,"Femme",23,"Ouakam","Oui",5,"Très souvent",13907,4,4,"Non","Livraison rapide","Email",5,2,1,4,8717,"Améliorer la qualité du service."
188,"Homme",25,"Ouakam","Oui",2,"Souvent",17699,5,5,"Oui","Offre personnalisée","Affichage campus",1,1,5,5,19537,"Améliorer la qualité du service."
189,"Homme",22,"Gueule Tapée-Fass-Colobane","Non",1,"Parfois",13447,3,4,"Oui","Offre personnalisée","Email",2,5,5,1,13026,"Rendre les prix plus abordables."
190,"Homme",25,"Yoff","Oui",5,"Parfois",14382,4,4,"Oui","Offre personnalisée","SMS",1,4,3,5,13043,"Offrir un essai gratuit."
191,"Femme",22,"Dakar-Plateau","Oui",3,"Très souvent",19927,5,5,"Oui","Sécurité","Bouche-à-oreille",5,5,3,1,20174,"Ajouter plus de fonctionnalités."
192,"Femme",24,"Fann-Point E-Amitié","Non",5,"Jamais",12597,1,1,"Oui","Prix bas","Bouche-à-oreille",1,3,4,2,8727,"Ajouter plus de fonctionnalités."
193,"Homme",26,"Dakar-Plateau","Non",3,"Parfois",12247,3,5,"Non","Offre personnalisée","Affichage campus",1,4,4,4,7298,"Rendre les prix plus abordables."
194,"Homme",25,"Patte d'Oie","Non",2,"Jamais",13421,2,2,"Oui","Livraison rapide","Réseaux sociaux",1,5,3,5,12162,"Améliorer la qualité du service."
195,"Homme",23,"Parcelles Assainies","Oui",3,"Souvent",9626,3,2,"Oui","Prix bas","Affichage campus",1,5,4,1,10489,"Améliorer la qualité du service."
196,"Femme",21,"Dakar-Plateau","Oui",1,"Parfois",12709,3,2,"Oui","Prix bas","Email",2,4,1,3,9224,"Rendre les prix plus abordables."
197,"Femme",26,"Fann-Point E-Amitié","Oui",4,"Parfois",16081,2,1,"Non","Livraison rapide","Bouche-à-oreille",4,2,2,2,5748,"Bonne initiative pour les étudiants."
198,"Homme",24,"Hann Bel-Air","Oui",2,"Très souvent",19487,4,5,"Oui","Livraison rapide","Bouche-à-oreille",3,3,4,1,16461,"Rendre les prix plus abordables."
199,"Femme",28,"Fann-Point E-Amitié","Oui",3,"Souvent",20350,2,3,"Oui","Sécurité","Affichage campus",4,5,2,5,13760,"Bonne initiative pour les étudiants."
200,"Homme",23,"Ngor","Oui",4,"Très souvent",15788,4,4,"Non","Livraison rapide","SMS",2,4,2,1,12468,"Rendre les prix plus abordables."
201,"Femme",18,"Gueule Tapée-Fass-Colobane","Oui",2,"Parfois",16394,2,2,"Oui","Livraison rapide","Bouche-à-oreille",4,5,5,2,13993,"Ajouter plus de fonctionnalités."
202,"Homme",25,"Parcelles Assainies","Oui",4,"Souvent",16349,4,4,"Non","Livraison rapide","Bouche-à-oreille",3,2,2,3,3564,"Bonne initiative pour les étudiants."
203,"Homme",24,"Patte d'Oie","Oui",1,"Parfois",17231,1,1,"Oui","Prix bas","SMS",2,2,3,3,11338,"Offrir un essai gratuit."
204,"Femme",19,"Dakar-Plateau","Oui",5,"Souvent",23149,4,3,"Non","Offre personnalisée","Affichage campus",5,2,4,2,11775,"Ajouter plus de fonctionnalités."
205,"Femme",20,"Patte d'Oie","Oui",2,"Souvent",14093,3,2,"Oui","Interface simple","SMS",1,5,2,3,11463,"Rendre les prix plus abordables."
206,"Homme",27,"Ngor","Non",4,"Jamais",7464,3,3,"Non","Offre personnalisée","Réseaux sociaux",2,5,2,3,9005,"Ajouter plus de fonctionnalités."
207,"Femme",22,"Patte d'Oie","Oui",2,"Souvent",17315,2,2,"Oui","Livraison rapide","SMS",3,2,1,3,14741,"Ajouter plus de fonctionnalités."
208,"Femme",21,"Parcelles Assainies","Oui",2,"Parfois",11647,2,2,"Oui","Livraison rapide","Email",4,2,3,4,13092,"Ajouter plus de fonctionnalités."
209,"Femme",25,"Dakar-Plateau","Oui",1,"Souvent",13316,4,5,"Non","Livraison rapide","Bouche-à-oreille",1,3,2,1,10197,"Bonne initiative pour les étudiants."
210,"Femme",24,"Mermoz-Sacré-Cœur","Non",1,"Jamais",8115,3,4,"Oui","Offre personnalisée","Bouche-à-oreille",5,3,4,1,10237,"Rendre les prix plus abordables."
211,"Femme",20,"Parcelles Assainies","Oui",3,"Souvent",18708,4,2,"Oui","Interface simple","Affichage campus",5,2,4,3,14866,"Ajouter plus de fonctionnalités."
212,"Femme",30,"Gueule Tapée-Fass-Colobane","Oui",4,"Très souvent",21560,4,4,"Non","Sécurité","Email",4,4,4,3,13578,"Rendre les prix plus abordables."
213,"Femme",21,"Patte d'Oie","Oui",3,"Parfois",15137,1,1,"Oui","Livraison rapide","Réseaux sociaux",3,2,1,5,11735,"Améliorer la qualité du service."
214,"Homme",21,"Patte d'Oie","Oui",2,"Souvent",22816,4,4,"Non","Offre personnalisée","Réseaux sociaux",2,4,2,3,13242,"Améliorer la qualité du service."
215,"Femme",22,"Dakar-Plateau","Non",4,"Parfois",9294,3,2,"Oui","Livraison rapide","Bouche-à-oreille",5,2,4,5,5668,"Bonne initiative pour les étudiants."
216,"Homme",23,"Ngor","Non",3,"Parfois",9894,1,1,"Oui","Prix bas","SMS",5,4,1,3,7705,"Améliorer la qualité du service."
217,"Femme",23,"Gueule Tapée-Fass-Colobane","Oui",1,"Très souvent",9216,4,3,"Oui","Sécurité","Affichage campus",1,4,4,4,4091,"Rendre les prix plus abordables."
218,"Femme",25,"Ouakam","Oui",3,"Souvent",21416,4,4,"Oui","Offre personnalisée","Affichage campus",3,5,2,1,19769,"Bonne initiative pour les étudiants."
219,"Homme",18,"Dakar-Plateau","Oui",4,"Souvent",18219,4,3,"Oui","Offre personnalisée","Affichage campus",2,2,4,4,13498,"Offrir un essai gratuit."
220,"Homme",24,"Ngor","Non",1,"Rarement",12058,2,5,"Oui","Livraison rapide","SMS",3,1,4,1,15623,"Améliorer la qualité du service."
221,"Femme",23,"Ouakam","Oui",3,"Parfois",15826,4,3,"Non","Livraison rapide","Email",2,1,1,3,9776,"Ajouter plus de fonctionnalités."
222,"Homme",21,"Dakar-Plateau","Non",2,"Parfois",8795,3,3,"Oui","Livraison rapide","Bouche-à-oreille",1,4,3,5,8997,"Bonne initiative pour les étudiants."
223,"Homme",21,"Parcelles Assainies","Oui",2,"Parfois",21805,3,2,"Oui","Livraison rapide","Bouche-à-oreille",3,5,4,5,13234,"Améliorer la qualité du service."
224,"Homme",28,"Grand Dakar","Oui",4,"Souvent",12985,4,4,"Oui","Livraison rapide","Bouche-à-oreille",5,2,1,2,12917,"Bonne initiative pour les étudiants."
225,"Femme",27,"Patte d'Oie","Oui",5,"Parfois",11436,3,5,"Oui","Offre personnalisée","Réseaux sociaux",1,2,5,2,14205,"Bonne initiative pour les étudiants."
226,"Femme",22,"Ouakam","Oui",5,"Souvent",21341,3,3,"Oui","Livraison rapide","Email",3,1,3,5,16977,"Rendre les prix plus abordables."
227,"Femme",20,"Ouakam","Non",5,"Rarement",11733,3,3,"Oui","Sécurité","Affichage campus",4,3,1,3,10477,"Ajouter plus de fonctionnalités."
228,"Homme",26,"Patte d'Oie","Oui",5,"Souvent",14956,5,4,"Non","Livraison rapide","Réseaux sociaux",3,1,1,3,10179,"Offrir un essai gratuit."
229,"Homme",20,"Parcelles Assainies","Non",4,"Parfois",9047,2,3,"Oui","Offre personnalisée","Bouche-à-oreille",4,3,2,5,6617,"Rendre les prix plus abordables."
230,"Homme",24,"Mermoz-Sacré-Cœur","Oui",4,"Très souvent",8907,4,4,"Non","Sécurité","Affichage campus",1,2,5,1,5062,"Améliorer la qualité du service."
231,"Homme",22,"Mermoz-Sacré-Cœur","Non",5,"Parfois",10592,4,3,"Oui","Livraison rapide","Email",4,1,5,2,9774,"Améliorer la qualité du service."
232,"Femme",21,"Mermoz-Sacré-Cœur","Oui",4,"Très souvent",18740,3,3,"Oui","Offre personnalisée","Email",1,1,5,5,15823,"Ajouter plus de fonctionnalités."
233,"Homme",27,"Patte d'Oie","Oui",1,"Très souvent",16708,2,2,"Oui","Livraison rapide","Réseaux sociaux",2,4,2,5,16035,"Rendre les prix plus abordables."
234,"Femme",24,"Ouakam","Oui",1,"Très souvent",11872,4,4,"Oui","Sécurité","Affichage campus",3,4,4,2,15833,"Offrir un essai gratuit."
235,"Femme",21,"Mermoz-Sacré-Cœur","Oui",2,"Souvent",21061,5,4,"Oui","Sécurité","Email",1,1,1,5,21858,"Rendre les prix plus abordables."
236,"Femme",22,"Ngor","Oui",4,"Très souvent",21652,3,3,"Oui","Livraison rapide","Réseaux sociaux",2,1,5,2,17664,"Rendre les prix plus abordables."
237,"Femme",22,"Hann Bel-Air","Oui",2,"Parfois",13240,3,4,"Oui","Livraison rapide","Affichage campus",3,2,4,2,18876,"Améliorer la qualité du service."
238,"Homme",18,"Mermoz-Sacré-Cœur","Oui",4,"Souvent",16258,4,5,"Non","Offre personnalisée","Email",2,2,1,4,11404,"Rendre les prix plus abordables."
239,"Femme",27,"Patte d'Oie","Oui",5,"Parfois",19922,3,3,"Oui","Sécurité","Réseaux sociaux",3,4,2,2,16242,"Offrir un essai gratuit."
240,"Homme",24,"Dakar-Plateau","Oui",5,"Souvent",20455,4,4,"Non","Offre personnalisée","Bouche-à-oreille",5,4,3,1,12963,"Améliorer la qualité du service."
241,"Homme",18,"Patte d'Oie","Non",3,"Parfois",12807,5,5,"Oui","Livraison rapide","Réseaux sociaux",3,2,1,3,15151,"Offrir un essai gratuit."
242,"Homme",25,"Parcelles Assainies","Oui",2,"Très souvent",13486,5,5,"Non","Offre personnalisée","Affichage campus",1,5,4,4,7530,"Offrir un essai gratuit."
243,"Femme",24,"Ouakam","Non",2,"Jamais",11643,3,3,"Oui","Offre personnalisée","Affichage campus",2,1,3,3,9201,"Bonne initiative pour les étudiants."
244,"Homme",26,"Ouakam","Oui",5,"Souvent",9336,4,4,"Non","Sécurité","Affichage campus",3,2,5,1,8505,"Ajouter plus de fonctionnalités."
245,"Femme",25,"Hann Bel-Air","Oui",1,"Souvent",13200,2,3,"Non","Offre personnalisée","Affichage campus",5,2,1,5,6532,"Rendre les prix plus abordables."
246,"Homme",26,"Gueule Tapée-Fass-Colobane","Oui",2,"Très souvent",20094,5,5,"Oui","Offre personnalisée","Bouche-à-oreille",3,1,1,3,13855,"Améliorer la qualité du service."
247,"Femme",24,"Patte d'Oie","Oui",2,"Souvent",10185,4,5,"Oui","Offre personnalisée","SMS",2,2,5,1,12952,"Améliorer la qualité du service."
248,"Homme",24,"Dakar-Plateau","Oui",3,"Parfois",12197,3,3,"Oui","Offre personnalisée","Bouche-à-oreille",2,3,1,4,11117,"Rendre les prix plus abordables."
249,"Homme",27,"Fann-Point E-Amitié","Oui",1,"Très souvent",16037,4,5,"Non","Sécurité","Affichage campus",1,4,2,2,9690,"Bonne initiative pour les étudiants."
250,"Homme",19,"Gueule Tapée-Fass-Colobane","Non",5,"Rarement",9951,1,1,"Oui","Livraison rapide","Affichage campus",2,3,1,5,7421,"Offrir un essai gratuit."
251,"Femme",18,"Mermoz-Sacré-Cœur","Oui",2,"Souvent",9984,4,4,"Oui","Livraison rapide","Email",1,1,4,5,11204,"Ajouter plus de fonctionnalités."
252,"Femme",20,"Hann Bel-Air","Oui",5,"Parfois",19038,4,4,"Non","Sécurité","Email",5,1,5,5,12598,"Bonne initiative pour les étudiants."
253,"Homme",25,"Mermoz-Sacré-Cœur","Oui",2,"Très souvent",12914,3,2,"Non","Interface simple","Bouche-à-oreille",5,1,4,2,4685,"Ajouter plus de fonctionnalités."
254,"Femme",22,"Mermoz-Sacré-Cœur","Oui",4,"Parfois",16368,1,2,"Oui","Prix bas","Bouche-à-oreille",4,1,1,5,14153,"Bonne initiative pour les étudiants."
255,"Homme",26,"Hann Bel-Air","Oui",3,"Parfois",16214,5,4,"Non","Offre personnalisée","Affichage campus",1,4,2,5,14845,"Rendre les prix plus abordables."
256,"Homme",22,"Dakar-Plateau","Oui",5,"Parfois",19787,2,3,"Oui","Livraison rapide","Email",5,2,2,4,12746,"Rendre les prix plus abordables."
257,"Femme",22,"Grand Dakar","Oui",4,"Très souvent",16736,5,4,"Non","Offre personnalisée","Email",2,5,3,4,10611,"Rendre les prix plus abordables."
258,"Femme",21,"Dakar-Plateau","Non",2,"Parfois",12000,4,3,"Oui","Livraison rapide","Affichage campus",1,1,1,5,8780,"Améliorer la qualité du service."
259,"Femme",28,"Ouakam","Oui",1,"Souvent",23619,5,5,"Non","Sécurité","Affichage campus",3,4,5,3,19223,"Bonne initiative pour les étudiants."
260,"Homme",25,"Mermoz-Sacré-Cœur","Oui",3,"Parfois",18488,3,3,"Oui","Sécurité","Bouche-à-oreille",1,1,3,5,15633,"Offrir un essai gratuit."
261,"Homme",26,"Dakar-Plateau","Non",4,"Jamais",12701,2,1,"Oui","Prix bas","Email",3,1,2,5,11159,"Rendre les prix plus abordables."
262,"Homme",25,"Yoff","Oui",2,"Parfois",18900,5,5,"Oui","Offre personnalisée","Réseaux sociaux",4,3,5,2,15808,"Ajouter plus de fonctionnalités."
263,"Homme",26,"Grand Dakar","Oui",3,"Souvent",19287,5,3,"Oui","Sécurité","Email",4,4,2,3,16789,"Offrir un essai gratuit."
264,"Homme",22,"Patte d'Oie","Non",5,"Parfois",9926,3,2,"Oui","Interface simple","SMS",5,2,3,3,12150,"Bonne initiative pour les étudiants."
265,"Femme",19,"Ouakam","Non",1,"Parfois",9261,3,2,"Oui","Livraison rapide","Bouche-à-oreille",4,5,2,2,7620,"Bonne initiative pour les étudiants."
266,"Homme",25,"Grand Dakar","Non",4,"Parfois",14125,4,4,"Non","Sécurité","Affichage campus",2,1,5,1,10073,"Bonne initiative pour les étudiants."
267,"Femme",24,"Ngor","Oui",2,"Très souvent",24879,3,3,"Non","Offre personnalisée","SMS",5,2,3,1,11735,"Ajouter plus de fonctionnalités."
268,"Femme",27,"Grand Dakar","Oui",3,"Très souvent",14880,4,4,"Non","Sécurité","Bouche-à-oreille",1,5,1,1,11274,"Rendre les prix plus abordables."
269,"Femme",22,"Gueule Tapée-Fass-Colobane","Oui",2,"Souvent",22164,3,3,"Oui","Sécurité","Email",2,5,2,4,16897,"Offrir un essai gratuit."
270,"Femme",28,"Grand Dakar","Oui",2,"Très souvent",14572,4,4,"Non","Offre personnalisée","Affichage campus",2,4,2,4,7762,"Bonne initiative pour les étudiants."
271,"Homme",29,"Dakar-Plateau","Non",1,"Parfois",7968,4,4,"Non","Sécurité","Bouche-à-oreille",5,1,3,4,7144,"Bonne initiative pour les étudiants."
272,"Femme",19,"Gueule Tapée-Fass-Colobane","Oui",2,"Très souvent",14335,3,2,"Oui","Livraison rapide","Email",3,2,3,3,12716,"Ajouter plus de fonctionnalités."
273,"Femme",20,"Patte d'Oie","Non",5,"Jamais",16143,3,1,"Oui","Interface simple","Réseaux sociaux",3,2,4,5,10970,"Bonne initiative pour les étudiants."
274,"Femme",24,"Ngor","Oui",3,"Très souvent",21146,5,4,"Oui","Offre personnalisée","Réseaux sociaux",5,3,2,5,13013,"Rendre les prix plus abordables."
275,"Homme",24,"Fann-Point E-Amitié","Non",5,"Jamais",12757,3,1,"Oui","Interface simple","Affichage campus",4,1,5,3,10010,"Bonne initiative pour les étudiants."
276,"Homme",25,"Dakar-Plateau","Non",1,"Jamais",12829,4,5,"Oui","Livraison rapide","Email",3,1,4,3,14183,"Bonne initiative pour les étudiants."
277,"Homme",23,"Hann Bel-Air","Non",1,"Jamais",14581,1,2,"Oui","Prix bas","Affichage campus",1,3,2,5,13824,"Rendre les prix plus abordables."
278,"Femme",24,"Ouakam","Oui",2,"Parfois",17967,3,2,"Oui","Livraison rapide","Affichage campus",3,2,2,4,11138,"Bonne initiative pour les étudiants."
279,"Femme",23,"Dakar-Plateau","Oui",5,"Souvent",25219,5,4,"Oui","Sécurité","Bouche-à-oreille",1,3,5,1,20196,"Améliorer la qualité du service."
280,"Homme",20,"Ngor","Oui",4,"Parfois",11270,3,2,"Oui","Interface simple","Réseaux sociaux",2,4,1,5,10934,"Bonne initiative pour les étudiants."
281,"Homme",25,"Patte d'Oie","Non",2,"Jamais",17231,1,2,"Oui","Livraison rapide","SMS",1,5,3,3,15653,"Rendre les prix plus abordables."
282,"Femme",18,"Ngor","Oui",4,"Souvent",11883,3,3,"Oui","Offre personnalisée","Réseaux sociaux",3,3,1,3,13039,"Bonne initiative pour les étudiants."
283,"Femme",24,"Parcelles Assainies","Oui",4,"Parfois",20843,4,4,"Non","Sécurité","Affichage campus",4,4,1,4,12265,"Bonne initiative pour les étudiants."
284,"Femme",25,"Dakar-Plateau","Oui",4,"Très souvent",16017,5,5,"Non","Offre personnalisée","Email",1,5,2,1,7644,"Offrir un essai gratuit."
285,"Femme",24,"Ngor","Oui",1,"Parfois",16480,2,2,"Non","Livraison rapide","Réseaux sociaux",3,1,5,4,5405,"Améliorer la qualité du service."
286,"Femme",21,"Dakar-Plateau","Oui",3,"Parfois",24133,3,3,"Non","Offre personnalisée","Affichage campus",2,4,4,4,13635,"Rendre les prix plus abordables."
287,"Femme",25,"Ngor","Oui",2,"Très souvent",14684,2,1,"Oui","Livraison rapide","SMS",5,4,3,3,11934,"Offrir un essai gratuit."
288,"Femme",24,"Ngor","Oui",4,"Souvent",25091,4,4,"Oui","Offre personnalisée","SMS",4,3,4,4,18742,"Rendre les prix plus abordables."
289,"Femme",23,"Ouakam","Oui",1,"Souvent",11362,3,3,"Oui","Offre personnalisée","Affichage campus",5,4,2,1,12165,"Améliorer la qualité du service."
290,"Homme",29,"Hann Bel-Air","Non",3,"Jamais",5640,2,1,"Oui","Interface simple","Bouche-à-oreille",5,4,1,4,7232,"Bonne initiative pour les étudiants."
291,"Femme",18,"Grand Dakar","Oui",2,"Souvent",18292,5,4,"Non","Offre personnalisée","Bouche-à-oreille",1,5,1,2,8781,"Offrir un essai gratuit."
292,"Femme",20,"Hann Bel-Air","Oui",5,"Souvent",15446,2,3,"Oui","Offre personnalisée","Email",1,4,2,4,12271,"Ajouter plus de fonctionnalités."
293,"Femme",21,"Gueule Tapée-Fass-Colobane","Oui",2,"Parfois",16309,3,2,"Oui","Interface simple","Affichage campus",1,3,3,1,12068,"Rendre les prix plus abordables."
294,"Homme",22,"Grand Dakar","Non",2,"Rarement",10583,4,4,"Non","Livraison rapide","Email",1,3,5,2,9236,"Bonne initiative pour les étudiants."
295,"Homme",20,"Ouakam","Non",5,"Jamais",16830,1,2,"Oui","Prix bas","Bouche-à-oreille",1,3,5,4,14658,"Ajouter plus de fonctionnalités."
296,"Homme",22,"Yoff","Oui",4,"Souvent",10286,3,3,"Non","Livraison rapide","Réseaux sociaux",3,5,3,4,6306,"Rendre les prix plus abordables."
297,"Homme",24,"Fann-Point E-Amitié","Oui",5,"Très souvent",30684,4,5,"Oui","Livraison rapide","Email",2,2,2,2,20136,"Offrir un essai gratuit."
298,"Femme",25,"Ngor","Oui",3,"Parfois",27312,4,4,"Oui","Livraison rapide","SMS",4,2,3,1,15265,"Offrir un essai gratuit."
299,"Femme",18,"Hann Bel-Air","Non",4,"Jamais",12889,2,2,"Oui","Interface simple","Bouche-à-oreille",4,2,1,5,12348,"Rendre les prix plus abordables."
300,"Homme",25,"Yoff","Oui",5,"Souvent",16742,2,1,"Oui","Interface simple","Réseaux sociaux",2,2,5,5,9777,"Ajouter plus de fonctionnalités."
301,"Homme",22,"Grand Dakar","Oui",3,"Parfois",14346,3,3,"Oui","Sécurité","Email",1,4,1,3,11226,"Bonne initiative pour les étudiants."
302,"Femme",20,"Gueule Tapée-Fass-Colobane","Oui",3,"Souvent",16628,1,1,"Oui","Livraison rapide","Affichage campus",3,1,2,2,8646,"Bonne initiative pour les étudiants."
303,"Homme",24,"Grand Dakar","Oui",2,"Parfois",19959,2,2,"Oui","Prix bas","Bouche-à-oreille",5,2,1,1,15086,"Offrir un essai gratuit."
304,"Homme",24,"Ngor","Non",4,"Rarement",13569,4,5,"Oui","Sécurité","SMS",3,4,5,1,11278,"Rendre les prix plus abordables."
305,"Homme",25,"Ngor","Oui",2,"Très souvent",17768,4,4,"Oui","Sécurité","SMS",2,2,3,1,10899,"Bonne initiative pour les étudiants."
306,"Femme",24,"Parcelles Assainies","Oui",4,"Souvent",22915,1,1,"Non","Livraison rapide","Email",4,4,5,1,9463,"Offrir un essai gratuit."
307,"Femme",22,"Mermoz-Sacré-Cœur","Oui",1,"Très souvent",8185,5,5,"Oui","Livraison rapide","Bouche-à-oreille",5,3,4,1,8469,"Rendre les prix plus abordables."
308,"Femme",22,"Ngor","Oui",3,"Souvent",15034,1,1,"Oui","Livraison rapide","Réseaux sociaux",5,2,4,2,13041,"Ajouter plus de fonctionnalités."
309,"Femme",19,"Dakar-Plateau","Oui",2,"Souvent",17578,3,3,"Oui","Sécurité","Affichage campus",4,3,3,5,18617,"Améliorer la qualité du service."
310,"Femme",22,"Mermoz-Sacré-Cœur","Non",3,"Rarement",7656,3,3,"Oui","Offre personnalisée","Affichage campus",5,1,4,2,9008,"Rendre les prix plus abordables."
311,"Femme",21,"Ngor","Oui",4,"Très souvent",21244,3,3,"Oui","Sécurité","SMS",4,4,3,2,19076,"Améliorer la qualité du service."
312,"Femme",23,"Hann Bel-Air","Non",4,"Rarement",10755,4,4,"Oui","Livraison rapide","Email",4,3,4,4,8158,"Bonne initiative pour les étudiants."
313,"Homme",23,"Yoff","Oui",2,"Très souvent",15283,5,5,"Oui","Offre personnalisée","Réseaux sociaux",4,1,1,1,14601,"Rendre les prix plus abordables."
314,"Femme",21,"Patte d'Oie","Oui",5,"Parfois",21756,2,2,"Oui","Interface simple","Réseaux sociaux",1,2,1,4,11823,"Bonne initiative pour les étudiants."
315,"Femme",19,"Yoff","Oui",2,"Parfois",20337,4,3,"Oui","Offre personnalisée","SMS",2,3,4,1,16612,"Offrir un essai gratuit."
316,"Homme",25,"Patte d'Oie","Oui",4,"Souvent",16399,4,5,"Non","Offre personnalisée","SMS",4,3,2,2,9800,"Bonne initiative pour les étudiants."
317,"Homme",23,"Ouakam","Non",5,"Parfois",6780,4,3,"Oui","Livraison rapide","Bouche-à-oreille",4,5,2,4,11457,"Bonne initiative pour les étudiants."
318,"Femme",21,"Dakar-Plateau","Oui",3,"Très souvent",11207,5,5,"Oui","Livraison rapide","Bouche-à-oreille",4,1,3,4,12875,"Bonne initiative pour les étudiants."
319,"Femme",24,"Gueule Tapée-Fass-Colobane","Non",2,"Rarement",10168,1,1,"Oui","Interface simple","Email",2,1,1,5,12340,"Rendre les prix plus abordables."
320,"Homme",26,"Parcelles Assainies","Non",5,"Jamais",12291,1,2,"Non","Prix bas","Affichage campus",1,3,3,4,9245,"Offrir un essai gratuit."
321,"Homme",27,"Dakar-Plateau","Oui",5,"Souvent",16850,5,5,"Non","Livraison rapide","Bouche-à-oreille",3,5,5,2,13962,"Bonne initiative pour les étudiants."
322,"Femme",23,"Parcelles Assainies","Oui",3,"Souvent",20654,4,5,"Oui","Sécurité","Affichage campus",4,3,1,5,19055,"Ajouter plus de fonctionnalités."
323,"Femme",26,"Yoff","Oui",1,"Parfois",16262,3,3,"Oui","Livraison rapide","SMS",3,3,5,5,15216,"Rendre les prix plus abordables."
324,"Homme",18,"Gueule Tapée-Fass-Colobane","Non",5,"Jamais",7503,1,2,"Oui","Prix bas","Email",2,1,5,2,9696,"Rendre les prix plus abordables."
